fecha,anio_hecho,mes_num,nombre_municipio,estrato,sexo_victima,sexo_agresor,naturaleza,nat_viosex,rango_edad,casos,anio_mes
2013-06-11,2013,6,Abejorral,Sin Dato,F,M,Otro/Desconocido,No Aplica,7-12,1,2013-06
2015-07-10,2015,7,Abejorral,Sin Dato,F,M,Violencia Física,No Aplica,35-44,1,2015-07
2016-07-14,2016,7,Abejorral,Sin Dato,F,M,Otro/Desconocido,No Aplica,2-7,1,2016-07
2013-12-14,2013,12,Abriaqui,Sin Dato,F,M,Otro/Desconocido,No Aplica,12-18,1,2013-12
2017-04-07,2017,4,Abriaqui,Sin Dato,F,M,Violencia Física,No Aplica,25-34,1,2017-04
2017-05-08,2017,5,Abriaqui,Sin Dato,F,M,Violencia Física,No Aplica,12-18,1,2017-05
2017-09-07,2017,9,Alejandria,Sin Dato,F,M,Violencia Física,No Aplica,35-44,1,2017-09
2014-01-18,2014,1,Amaga,Sin Dato,F,M,Violencia Física,No Aplica,25-34,1,2014-01
2015-05-17,2015,5,Amaga,Sin Dato,F,M,Violencia Física,No Aplica,35-44,1,2015-05
2016-08-14,2016,8,Amaga,Sin Dato,F,M,Violencia Física,No Aplica,35-44,1,2016-08
2017-12-20,2017,12,Amaga,Sin Dato,F,M,Otro/Desconocido,No Aplica,18-24,1,2017-12
2016-06-27,2016,6,Amalfi,Sin Dato,F,M,Violencia Psicológica,No Aplica,2-7,1,2016-06
2017-05-18,2017,5,Amalfi,Sin Dato,M,M,Violencia Física,No Aplica,18-24,1,2017-05
2017-07-31,2017,7,Amalfi,Sin Dato,M,M,Violencia Física,No Aplica,25-34,1,2017-07
2017-11-12,2017,11,Amalfi,Sin Dato,F,F,Violencia Física,No Aplica,25-34,1,2017-11
2017-05-15,2017,5,Andes,Sin Dato,F,M,Otro/Desconocido,No Aplica,7-12,1,2017-05
2017-11-10,2017,11,Angelopolis,Sin Dato,F,M,Otro/Desconocido,No Aplica,18-24,1,2017-11
2017-05-29,2017,5,Anori,Sin Dato,M,M,Violencia Física,No Aplica,18-24,2,2017-05
2017-05-29,2017,5,Anori,Sin Dato,M,M,Violencia Física,No Aplica,25-34,1,2017-05
2013-10-07,2013,10,Apartado,Sin Dato,F,M,Otro/Desconocido,No Aplica,7-12,1,2013-10
2013-12-16,2013,12,Apartado,Sin Dato,F,M,Otro/Desconocido,Acceso carnal,12-18,1,2013-12
2015-09-02,2015,9,Apartado,Sin Dato,F,M,Violencia Física,No Aplica,35-44,1,2015-09
